%time SOC Ptotal Psensor1 Psensor2 Pmcu Prf Ppv Ipv
2470 0.76731109124 -1.0715 0.1 0.01 0.01 0.01 1.2 0.342857142857
2480 0.767450038384 -1.0715 0.1 0.01 0.01 0.01 1.2 0.342857142857
2490 0.767588967111 -1.0715 0.1 0.01 0.01 0.01 1.2 0.342857142857
2500 0.767727877425 1.5125 2 0.15 0.3 0.3 1.6 0.342857142857
2510 0.767495974487 0.4285 2 0.01 0.01 0.01 1.6 0.457142857143
2520 0.767332975056 0.4285 2 0.01 0.01 0.01 1.6 0.457142857143
2530 0.767169989801 0.4285 2 0.01 0.01 0.01 1.6 0.457142857143
2540 0.767007018721 0.4285 2 0.01 0.01 0.01 1.6 0.457142857143
2550 0.766844061813 -1.4715 0.1 0.01 0.01 0.01 1.6 0.457142857143
2560 0.767025342551 -1.4715 0.1 0.01 0.01 0.01 1.6 0.457142857143
2570 0.767244838866 -1.4715 0.1 0.01 0.01 0.01 1.6 0.457142857143
2580 0.767464303417 -1.4715 0.1 0.01 0.01 0.01 1.6 0.457142857143
2590 0.767683736212 -1.4715 0.1 0.01 0.01 0.01 1.6 0.457142857143
2600 0.767903137263 1.1125 2 0.15 0.3 0.3 0.2 0.457142857143
2610 0.767461862763 1.8285 2 0.01 0.01 0.01 0.2 0.0571428571429
2620 0.767017033624 1.8285 2 0.01 0.01 0.01 0.2 0.0571428571429
2630 0.766572224227 1.8285 2 0.01 0.01 0.01 0.2 0.0571428571429
2640 0.766127434545 1.8285 2 0.01 0.01 0.01 0.2 0.0571428571429
2650 0.76568266455 -0.0715 0.1 0.01 0.01 0.01 0.2 0.0571428571429
2660 0.765582240532 -0.0715 0.1 0.01 0.01 0.01 0.2 0.0571428571429
2670 0.765520081913 -0.0715 0.1 0.01 0.01 0.01 0.2 0.0571428571429
2680 0.765457929646 -0.0715 0.1 0.01 0.01 0.01 0.2 0.0571428571429
2690 0.765395783728 -0.0715 0.1 0.01 0.01 0.01 0.2 0.0571428571429
2700 0.765333644161 2.5125 2 0.15 0.3 0.3 0 0.0571428571429
2710 0.764803879961 2.0285 2 0.01 0.01 0.01 0 0
2720 0.764318887416 2.0285 2 0.01 0.01 0.01 0 0
2730 0.763833913244 2.0285 2 0.01 0.01 0.01 0 0
2740 0.763348957405 2.0285 2 0.01 0.01 0.01 0 0
2750 0.762864019861 0.1285 0.1 0.01 0.01 0.01 0 0
2760 0.762723580653 0.1285 0.1 0.01 0.01 0.01 0 0
2770 0.762621427419 0.1285 0.1 0.01 0.01 0.01 0 0
2780 0.762519283996 0.1285 0.1 0.01 0.01 0.01 0 0
2790 0.762417150383 0.1285 0.1 0.01 0.01 0.01 0 0
2800 0.762315026579 2.7125 2 0.15 0.3 0.3 0.4 0
2810 0.761841773287 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
2820 0.76143748997 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
2830 0.76103322676 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
2840 0.76062898363 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
2850 0.760224760556 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
2860 0.760165164786 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
2870 0.760143861538 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
2880 0.760122560599 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
2890 0.76010126197 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
2900 0.760079965649 2.3125 2 0.15 0.3 0.3 1 0.114285714286
2910 0.759719665627 1.0285 2 0.01 0.01 0.01 1 0.285714285714
2920 0.759436417892 1.0285 2 0.01 0.01 0.01 1 0.285714285714
2930 0.759153189435 1.0285 2 0.01 0.01 0.01 1 0.285714285714
2940 0.758869980246 1.0285 2 0.01 0.01 0.01 1 0.285714285714
2950 0.758586790317 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
2960 0.758648295631 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
2970 0.758748085999 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
2980 0.758847863682 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
2990 0.758947628684 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
3000 0.759047381006 1.7125 2 0.15 0.3 0.3 1.4 0.285714285714
3010 0.758775828211 0.6285 2 0.01 0.01 0.01 1.4 0.4
3020 0.758573272922 0.6285 2 0.01 0.01 0.01 1.4 0.4
3030 0.758370733924 0.6285 2 0.01 0.01 0.01 1.4 0.4
